id,mother,father,name,surname,maidenSurname,pEst,birthDate,birthPlace,deathDate,deathPlace,occupation,note,infoUrl
10002,,10001,Elizabeta I.,Kurjaković,Zrinski,,,,,,,,
10004,,10005,Ana I.,Zrinski,,,a1410,,,,,,
10006,,10005,Margareta I.,Zrinski,,,,,,,,,
10008,,,Sofija,Zrinski,,,,,,,,,
10010,,,Jelena,Zrinski,Babonić,,,,,,princess of Blagaj,,
10012,,10007,Katarina I.,Zrinski,,,,,,,,,
10014,,10007,Klara,Zrinski,,,,,,,,,
10016,,10007,Margareta II.,Zrinski,,3,a1442,,a1488,,,,
10018,,10007,Ilka,Zrinski,,3,a1442,,a1488,,,,
10030,10008,10019,Jelena,Karlović,Zrinski,,,,,,,,
10032,10008,10019,Margareta,Zrinski,,,,,,,,,
10034,,,Jelena,Zrinski,Karlović,,,,,,,,
10036,10034,10035,Jelena,Tahy,Zrinski,,,,,,,,
10038,10034,10035,Margareta III.,Zrinski,,,,,,,,,
10040,10034,10035,Katarina  ,Zrinski,Fraknopan of Ozalj,,,,a1561,,,,
10042,10034,10035,Eva,Zrinski,Rožemberk/Rosenberg,,a1537,,a1501,,,,
10050,10040,10045,Jelena,Zrinski,,,a1546,,a1585,,,,
10052,10040,10045,Katarina II.,Zrinski,,,a1548,,a1585,,,,
10054,10040,10045,Ana,Zrinski,d’Arco,,,,a1570,,,,
10056,10040,10045,Sofija,Zrinski,Stubenberg,,,,,,,,
10058,10040,10045,Doroteja,Zrinski,,,a1550,,a1617,,,,
10060,10040,10045,Uršula,Zrinski,,,a1552,,a1593,,,,
10062,10040,10045,Barbara,Zrinski,,,a1554,,,,,,
10064,10040,10045,Margareta IV.,Zrinski,,,a1555,,a1588,,,,
10066,10040,10045,Ana II.,Zrinski,,,a1557,,,,,,
10068,10040,10045,Magdalena,Zrinski,,,a1561,,,,,,
10070,10056,10053,Barbara,Zrinski,,,,,,,,,
10072,10056,10053,Elizabeta II.,Erdődy,Zrinski,,,,,,,,
10074,10056,10053,Suzana,Lenković,Zrinski,,,,,,,,
10076,,,Magdalena,Zrinski,Széchy,,,,,,,,
10080,,,Marija Euzebija,Zrinski,Drašković,,,,a1650,,,,
10082,,,Marija Sofija,Zrinski,Löbl,,,,a1676,,,,
10084,,,Ana Katarina,Zrinski,Frankopan of Tržac,,a1625,Bosiljevo,a1673,Graz,,,
10090,10082,10081,Marija Terezija Barbara,Zrinski,,,a1655,,a1658,,,,
10092,10082,10081,Marija Katarina,Zrinski,,,a1656,,,,,,
10094,,,Marija Katarina ,Zrinski,Lamberg,,,,,,,,
10096,10084,10083,Jelena,Rákóczi,Zrinski,,a1643,Ozalj,a1703,Nicomedia,,,
10098,10084,10083,Judita Pertonila,Zrinski,,,a1652,Ozalj,a1600,Zagreb,,,
10100,10084,10083,Zora Veronika,Zrinski,,,a1658,Ozalj,a1735,Klanenfurt,,,
